konto;bezeichnung
0750;Verbindlichkeiten gegenübe r Gesellschaftern -
0760;Sonstige Verbindlichkeiten Darlehen typisch stiller Gesellschafter übrige sonstige Verbindlichkeiten
0761;Darlehen typisch stiller Gesellschafter -
0764;Darlehen typisch stiller Gesellschafter -
0767;Darlehen typisch stiller Gesellschafter -
0770;Darlehen atypisch stiller Gesellschafter
0771;Darlehen atypisch stiller Gesellschafter -
0774;Darlehen atypisch stiller Gesellschafter -
0777;Darlehen atypisch stiller Gesellschafter -
0780;Partiarische Darlehen sonstige Verbindlichkeiten aus
0781;Partiarische Darlehen - Restlaufzeit bis 1 Jahr
0784;Partiarische Darlehen - Restlaufzeit 1 bis 5
0787;Partiarische Darlehen - Restlaufzeit größer 5
0799;Gegen konto 0730 -0789 und 1665 -1678 und
0849;Rücklage für Anteile an einem
0851;Satzungsmäßige Rücklage Satzungsmäßige Rücklagen K Rücklagen (gesamthände risch
0853;Andere Gewinnrücklagen Gewinnrücklagen aus den
0854;Gewinnrücklagen aus den
0855;Andere Gewinnrücklagen K17)
0856;Eigenkapitalanteil von Wertaufholunge n K17)
0857;Gewinnrücklagen aus den
0858;Gewinnrücklagen aus den
0859;Latente Steuern (Gewinnrücklage Haben ) aus
0860;Gewinn-/Verlustvortrag vor
0868;Verlustvortrag vor Verwendun g K17)
0870;VH Kapitalanteile der persönlich haftenden
0890;VH Verbindlichkeiten gegenübe r persönlich
0920;TH Verbindlichkeiten gegenübe r
0930;Sonde rposten mit Rücklagean teil Sonde rposten mit Rücklagean teil, steuerfreie
0931;Sonde rposten mit Rücklagean teil nach § 6b
0932;Sonde rposten mit Rücklagean teil nach EStR
0939;Sonde rposten mit Rücklagean teil nach § 52
0940;Sonde rposten mit Rücklagean teil,
0943;Sonde rposten mit Rücklagean teil nach § 7g
0945;Ausgleichsposten bei Entnahmen § 4g EStG SB ande re Sonde rposten
0946;Rücklage für Zuschüsse SB Rücklage für Zuschüsse
0947;Sonde rposten mit Rücklagean teil nach § 7g
0949;Sonde rposten für Zuschüsse und
0950;Rückstellungen für Pensionen und
0951;Rückstellungen für Pensionen und
0953;Rückstellungen für Pensionen und
0954;Rückstellungen für Zuschussverpflichtungen
0955;Steuerrückstellungen (allgemein) Steuerrückstellunge n Steuerrückstellunge n
0956;Gewerbesteuerrückstellung, § 4 Abs. 5b EStG
0957;Gewerbesteuerrückstellung
0962;Steuerrückstellung für Steuerstundung (BStBK)
0964;Sonstige Rückstellungen Rückstellungen für mit der Altersversorgung
0965;Rückstellungen für Personalkosten
0966;Rückstellungen zur Erfüllung der
0967;Sonstige Rückstellungen oder Aktiver
0968;Passive latente Steuern Passive latente Steuern HB Passive latente Steuern
0969;Rückstellungen für latente Steuern Rückstellungen für latente Steuern HB Steuerrückstellunge n
0970;Sonstige Rückstellungen Sonstige Rückstellunge n sonstige Rückstellunge n
0971;Rückstellungen für unterlassene
0972;HBÜ
0973;Rückstellungen für Abraum- und
0974;Rückstellungen für Gewährleistungen
0976;Rückstellungen für drohende Verluste aus
0977;Rückstellungen für Abschluss- und
0978;Aufwandsrückstellungen gemäß § 249 Abs. 2
0979;Rückstellungen für Umweltschutz
0980;Rechnung sabgrenzungsposten Aktive Rechnung sabgrenzung aktive Rechnung sabgrenzungsposten
0983;Aktive latente Steuern Aktive latente Steuern HB Aktive latente Steuern
0984;Rechnung sabgrenzungsposten Als Aufwand berücksichtigte Zölle und
0985;Als Aufwand berücksichtigte Umsatzsteuer auf
0986;Damnum/Disagio
0987;Andere Gewinnrücklagen Rechnung sabgrenzungsposten
0988;Latente Steuern (Gewinnrücklage Soll) aus
0990;Rechnung sabgrenzungsposten Passive Rechnung sabgrenzung passive Rechnung sabgrenzungsposten
0992;Abgrenzung unterjährig pauschal gebu chter
0996;Forderungen aus Lieferungen und
0997;Pauschalwertberichtigung auf Forderungen -
0998;Einzelwertberichtigungen auf Forderungen -
0999;Einzelwertberichtigungen auf Forderungen -
1000;Kassenbe stand, Bunde sbankguthaben ,
1010;Neben kasse 1
1020;Neben kasse 2
1100;Kassenbe stand, Bunde sbankguthaben ,
1110;Bank (Postbank 1)8)
1120;Bank (Postbank 2)8)
1130;Bank (Postbank 3)8)
1190;LZB-Guthabe n Bunde sbankguthabe n
1195;Bunde sbankguthabe n
1200;Bank Guthaben bei Kreditinstituten
1210;Bank 1
1220;Bank 2
1230;Bank 3
1240;Bank 4
1250;Bank 5
1290;Finanzmittelanlagen im Rahmen der
1295;Verbindlichkeiten gegenübe r
1300;Forderungen aus Lieferungen und
1301;Wechsel aus Lieferungen und Leistungen -
1302;Wechsel aus Lieferungen und Leistungen -
1305;Wechsel aus Lieferungen und Leistungen ,
1310;Forderungen gegen verbundene
1311;Besitzwechsel gegen verbundene
1312;Besitzwechsel gegen verbundene
1315;Besitzwechsel gegen verbundene
1320;Forderungen gegen Unternehmen, mit
1321;Besitzwechsel gegen Unternehmen, mit denen
1322;Besitzwechsel gegen Unternehmen, mit denen
1325;Besitzwechsel gegen Unternehmen, mit denen
1327;Sonstige Wertpapiere Finanzwechsel sonstige Wertpapiere des
1329;Andere Wertpapiere mit unwesentlichen
1330;Kassenbe stand, Bunde sbankguthaben ,
1340;Anteile an verbundenen Unternehmen Anteile an verbundenen Unternehmen
1344;Anteile an herrschende r oder mit Mehrheit
1348;Sonstige Wertpapiere Sonstige Wertpapiere sonstige Wertpapiere des
1349;Wertpapieranlagen im Rahmen der
1350;Sonstige Vermögen sgegen stände GmbH-Anteile zum kurzfristigen Verbleib Übrige sonstige
1352;Genossenschaftsanteile zum kurzfristigen
1353;Vermögen sgegen stände zur Erfüllung von mit
1354;Aktiver Unterschiedsbetrag aus der
1355;Sonstige Vermögen sgegen stände Ansprüche aus Rückdeckungsversicherunge n Rückdeckungsansprüche aus
1356;Vermögen sgegen stände zur Erfüllung von
1357;Aktiver Unterschiedsbetrag aus der
1360;Sonstige Vermögen sgegen stände oder
1373;Forderungen gegen Kommanditisten
1374;Forderungen gegen Kommanditisten und
1375;Forderungen gegen Kommanditisten und
1376;Andere Forderungen gegen
1377;Forderungen gegen typisch stille
1378;Forderungen gegen typisch stille
1380;Sonstige Vermögen sgegen stände oder
1385;Forderungen gegen persönlich
1386;Forderungen gegen persönlich haftende
1387;Forderungen gegen persönlich haftende
1390;Sonstige Vermögen sgegen stände oder
1400;Forderungen aus Lieferungen und
1451;Forderungen aus Lieferungen und Leistungen
1455;Forderungen aus Lieferungen und Leistungen
1460;Zweifelhafte Forderunge n
1461;Zweifelhafte Forderungen - Restlaufzeit bis 1
1465;Zweifelhafte Forderungen - Restlaufzeit größer
1470;Forderungen gegen verbundene
1471;Forderungen aus Lieferungen und Leistungen
1475;Forderungen aus Lieferungen und Leistungen
1478;Forderungen gegen verbundene
1479;Wertberichtigungen auf Forderungen gegen
1480;Forderungen gegen Unternehmen, mit
1481;Forderungen aus Lieferungen und Leistungen
1485;Forderungen aus Lieferungen und Leistungen
1488;Forderungen gegen Unternehmen, mit
1489;Wertberichtigungen auf Forderungen gegen
1490;Andere Forderungen gegen
1491;Forderungen aus Lieferungen und Leistungen
1495;Forderungen aus Lieferungen und Leistungen
1497;bei Aufteilung
1498;Forderungen aus Lieferungen und
1499;Forderungen aus Lieferungen und
1500;Sonstige Vermögen sgegen stände Sonstige Vermögen sgegen stände Übrige sonstige
1501;Sonstige Vermögen sgegen stände -
1502;Sonstige Vermögen sgegen stände -
1503;Forderungen gegen Vorstandsmitglieder und
1504;Forderungen gegen Vorstandsmitglieder und
1505;Forderungen gegen Aufsichtsrats- und
1506;Forderungen gegen Aufsichtsrats- und
1507;Andere Forderungen gegen
1508;Forderungen gegen sonstige Gesellschafter -
1510;Geleistete Anzahlungen (Vorräte) Geleistete Anzahlungen auf Vorräte geleistete Anzahlungen (Vorräte)
1511;Geleistete Anzahlungen 7 % Vorsteuer
1516;Geleistete Anzahlungen 15 % Vorsteuer
1517;Geleistete Anzahlungen 16 % Vorsteuer
1518;Geleistete Anzahlungen 19 % Vorsteuer
1519;Sonstige Vermögen sgegen stände Forderungen gegen Arbeitsgemeinschaften Forderungen gegen
1520;Sonstige Vermögen sgegen stände Forderungen gegenübe r Krankenkassen aus
1521;Agenturwarenab rechnun g
1522;Genussrechte Genussrechte
1524;Einzahlungsansprüche zu Neben leistungen
1525;Kautionen Übrige sonstige
1526;Kautionen - Restlaufzeit bis 1 Jahr
1527;Kautionen - Restlaufzeit größer 1 Jahr
1528;Sonstige Vermögen sgegen stände oder
1529;Zurückzuzahlende Vorsteuer, § 15a Abs. 2
1530;Sonstige Vermögen sgegen stände Forderungen gegen Personal aus Lohn - und
1531;Forderungen gegen Personal aus Lohn - und
1537;Forderungen gegen Personal aus Lohn - und
1540;Forderungen aus
1542;Steuererstattungsansprüche gegenübe r
1543;Forderungen an das Finanzamt aus
1544;Forderungen gegenübe r Bunde sagen tur für
1545;Umsatzsteuerforderunge n Umsatzsteuerforderunge n
1547;Forderungen aus entrichteten
1548;Sonstige Vermögen sgegen stände oder
1550;Sonstige Vermögen sgegen stände Darlehen Übrige sonstige
1551;Darlehen - Restlaufzeit bis 1 Jahr
1555;Darlehen - Restlaufzeit größer 1 Jahr
1556;Sonstige Vermögen sgegen stände oder
1557;Zurückzuzahlende Vorsteuer, § 15a Abs. 1
1558;Nachträglich abziehba re Vorsteuer gem. § 15a
1559;Zurückzuzahlende Vorsteuer gem. § 15a Abs.
1560;Aufzuteilende Vorsteuer
1561;Aufzuteilende Vorsteuer 7 %
1562;Aufzuteilende Vorsteuer aus
1563;Aufzuteilende Vorsteuer aus
1566;Aufzuteilende Vorsteuer 19 %
1567;Aufzuteilende Vorsteuer nach §§ 13a/13b UStG
1569;Aufzuteilende Vorsteuer nach §§ 13a/13b
1570;Abziehba re Vorsteuer
1571;Abziehba re Vorsteuer 7 %
1572;Abziehba re Vorsteuer aus
1573;Vorsteuer aus Erwerb als letzter Abneh mer
1574;Abziehba re Vorsteuer aus
1576;Sonstige Vermögen sgegen stände oder
1577;Abziehba re Vorsteuer nach § 13b UStG 19 %
1578;Abziehba re Vorsteuer nach § 13b UStG
1584;Abziehba re Vorsteuer aus
1585;Abziehba re Vorsteuer aus der Auslagerung
1587;Vorsteuer nach allgemeinen
1588;Bezahlte Einfuhrumsatzsteuer
1590;Durchlaufende Posten Übrige sonstige
1592;Fremdgeld
1593;Sonstige Verbindlichkeiten Verrechnung skonto erhaltene Anzahlungen bei
1594;Forderungen gegen verbundene
1595;Forderungen gegen verbundene
1596;Forderungen gegen verbundene
1597;Forderungen gegen Unternehmen, mit
1598;Forderungen gegen Unternehmen, mit denen
1599;Forderungen gegen Unternehmen, mit denen
1600;Verbindlichkeiten aus Lieferungen und
1625;Verbindlichkeiten aus Lieferungen und
1626;Verbindlichkeiten aus Lieferungen und
1628;Verbindlichkeiten aus Lieferungen und
1630;Verbindlichkeiten gegenübe r
1631;Verbindlichkeiten aus Lieferungen und
1635;Verbindlichkeiten aus Lieferungen und
1638;Verbindlichkeiten aus Lieferungen und
1640;Verbindlichkeiten gegenübe r
1641;Verbindlichkeiten aus Lieferungen und
1645;Verbindlichkeiten gegenübe r
1648;Verbindlichkeiten aus Lieferungen und
1650;Andere Verbindlichkeiten gegenübe r
1651;Verbindlichkeiten aus Lieferungen und
1655;Verbindlichkeiten aus Lieferungen und
1658;bei Aufteilung
1659;Verbindlichkeiten aus Lieferungen und
1660;Verbindlichkeiten aus der Annah me
1661;Wechselverbindlichkeiten - Restlaufzeit bis 1
1662;Wechselverbindlichkeiten - Restlaufzeit 1 bis 5
1663;Wechselverbindlichkeiten - Restlaufzeit größer
1670;Verbindlichkeiten gegenübe r
1671;Verbindlichkeiten gegenübe r persönlich
1672;Verbindlichkeiten gegenübe r persönlich
1673;Verbindlichkeiten gegenübe r persönlich
1675;Verbindlichkeiten gegenübe r
1676;Verbindlichkeiten gegenübe r Kommanditisten -
1677;Verbindlichkeiten gegenübe r Kommanditisten -
1678;Verbindlichkeiten gegenübe r Kommanditisten -
1680;Verbindlichkeiten aus der Annah me
1691;Sonstige Verbindlichkeiten Verbindlichkeiten gegenübe r
1695;Andere Verbindlichkeiten gegenübe r
1696;Verbindlichkeiten gegenübe r stillen
1697;Verbindlichkeiten gegenübe r stillen
1698;Verbindlichkeiten gegenübe r stillen
1700;Sonstige Verbindlichkeiten Sonstige Verbindlichkeiten übrige sonstige Verbindlichkeiten
1701;Sonstige Verbindlichkeiten - Restlaufzeit bis 1
1702;Sonstige Verbindlichkeiten Sonstige Verbindlichkeiten - Restlaufzeit 1 bis
1703;Sonstige Verbindlichkeiten - Restlaufzeit
1705;Darlehen
1706;Darlehen - Restlaufzeit bis 1 Jahr
1707;Darlehen - Restlaufzeit 1 bis 5 Jahre
1708;Darlehen - Restlaufzeit größer 5 Jahre
1709;Sonstige Verbindlichkeiten oder
1710;Erhaltene Anzahlungen auf
1711;Erhaltene, versteuerte Anzahlungen 7 % USt
1716;Erhaltene, versteuerte Anzahlungen 15 % USt
1717;Erhaltene, versteuerte Anzahlungen 16 % USt
1718;Erhaltene, versteuerte Anzahlungen 19 % USt
1719;Erhaltene Anzahlungen - Restlaufzeit bis 1 Jahr
1720;Erhaltene Anzahlungen - Restlaufzeit 1 bis 5
1721;Erhaltene Anzahlungen - Restlaufzeit größer 5
1722;Erhaltene Anzahlungen auf
1730;Sonstige Verbindlichkeiten Kreditkartenab rechnun g übrige sonstige Verbindlichkeiten
1731;Agenturwarenab rechnun g
1732;Erhaltene Kautionen
1733;Erhaltene Kautionen - Restlaufzeit bis 1 Jahr
1734;Erhaltene Kautionen - Restlaufzeit 1 bis 5 Jahre
1735;Erhaltene Kautionen - Restlaufzeit größer 5
1736;Verbindlichkeiten aus Steuern und Abgabe n sonstige Verbindlichkeiten aus Steuern
1737;Verbindlichkeiten aus Steuern und Abgaben -
1738;Verbindlichkeiten aus Steuern und Abgaben -
1739;Verbindlichkeiten aus Steuern und Abgaben -
1740;Verbindlichkeiten aus Lohn und Gehalt sonstige Verbindlichkeiten gegenübe r
1741;Sonstige Verbindlichkeiten oder
1742;Verbindlichkeiten im Rahmen der sozialen
1743;Verbindlichkeiten im Rahmen der sozialen
1744;Verbindlichkeiten im Rahmen der sozialen
1745;Verbindlichkeiten im Rahmen der sozialen
1746;Sonstige Verbindlichkeiten Verbindlichkeiten aus Einbeha ltungen (KapESt
1747;Verbindlichkeiten für Verbrauchsteuern
1748;Verbindlichkeiten für Einbeha ltungen von
1749;Verbindlichkeiten an das Finanzamt aus
1750;Verbindlichkeiten aus Vermögen sbildung sonstige Verbindlichkeiten im Rahmen
1751;Verbindlichkeiten aus Vermögen sbildung -
1752;Verbindlichkeiten aus Vermögen sbildung -
1753;Verbindlichkeiten aus Vermögen sbildung -
1754;Steuerzahlungen an ande re Lände r sonstige Verbindlichkeiten aus Steuern
1755;Sonstige Verbindlichkeiten oder
1759;Voraussichtliche Beitragsschuld gegenübe r
1760;Steuerrückstellungen (allgemein) oder
1761;Umsatzsteuer nicht fällig 7 %
1762;Umsatzsteuer nicht fällig aus im Inland
1764;Umsatzsteuer nicht fällig aus im Inland
1766;Umsatzsteuer nicht fällig 19 %
1767;Sonstige Verbindlichkeiten Umsatzsteuer aus im ande ren EU-Land
1768;Umsatzsteuer aus im ande ren EU-Land
1769;Sonstige Verbindlichkeiten oder
1770;Umsatzsteuer
1771;Umsatzsteuer 7 %
1772;Umsatzsteuer aus innergemeinschaftlichem
1774;Umsatzsteuer aus innergemeinschaftlichem
1776;Umsatzsteuer 19 %
1777;Umsatzsteuer aus im Inland steuerpflichtigen
1778;Umsatzsteuer aus im Inland steuerpflichtigen
1779;Umsatzsteuer aus innergemeinschaftlichem
1780;Umsatzsteuer-Vorauszahlunge n
1781;Umsatzsteuer-Vorauszahlungen 1/11
1782;Nachsteuer, UStVA Kz. 65
1783;In Rechnung unrichtig oder unbe rechtigt
1784;Umsatzsteuer aus innergemeinschaftlichem
1785;Umsatzsteuer nach § 13b UStG
1787;Umsatzsteuer nach § 13b UStG 19 %
1788;Einfuhrumsatzsteuer aufgeschoben bis...
1789;Umsatzsteuer laufende s Jahr
1790;Umsatzsteuer Vorjahr
1791;Umsatzsteuer frühere Jahre
1792;Sonstige Verrechnung skonten (Interimskonto) übrige sonstige Verbindlichkeiten
1793;Sonstige Vermögen sgegen stände Verrechnung skonto geleistete Anzahlungen bei
1794;Sonstige Verbindlichkeiten oder
1796;Sonstige Verbindlichkeiten Ausgegebene Geschenkgutscheine übrige sonstige Verbindlichkeiten
1797;Verbindlichkeiten aus Umsatzsteuer sonstige Verbindlichkeiten aus Steuern1)
1869;Grundstücksaufwand VH
1879;Grundstücksertrag VH
2000;Außerordentliche Aufwendungen Außerordentliche Aufwendunge n ande re außerordentliche
2001;Außerordentliche Aufwendungen finanzwirksam
2004;Verluste durch Verschmelzung und
2005;nicht mehr die Zusatzfunktion KU. Bitte
2006;Verluste durch außergewöhnliche
2007;noch die
2008;Verluste aus der Veräußerung oder der
2009;die Erträge zu 40 % als steuerfrei und
2010;Sonstige betriebliche Aufwendungen Betriebsfremde Aufwendungen soweit nicht
2014;geände rt.
2020;Perioden fremde Aufwendungen soweit nicht
2090;Außerordentliche Aufwendungen Außerordentliche Aufwendungen aus der
2091;Außerordentliche Aufwendungen aus der
2092;Außerordentliche Aufwendungen aus der
2094;Außerordentliche Aufwendungen aus der
2100;Zinsen und ähnliche Aufwendungen Zinsen und ähnliche Aufwendunge n GK Zinsen
2102;Steuerlich nicht abzugsfähige ande re
2103;Steuerlich abzugsfähige, ande re
2104;Steuerlich nicht abzugsfähige, ande re
2105;Zinsaufwendungen § 233a AO, § 4 Abs. 5b
2107;Zinsaufwendungen § 233a AO betriebliche
2108;Zinsaufwendungen §§ 233a bis 237 AO
2109;Zinsaufwendungen an verbundene
2110;Zinsaufwendungen für kurzfristige
2113;Nicht abzugsfähige Schuldzinsen gemäß § 4
2115;Zinsen und ähnliche Aufwendungen §§ 3 Nr.
2116;Zinsen und ähnliche Aufwendungen an
2118;Zinsen auf Kontokorrentkonten
2119;Zinsaufwendungen für kurzfristige
2120;Zinsaufwendungen für langfristige
2123;Abschreibungen auf Disagio/Damnum zur
2124;Abschreibungen auf Disagio/Damnum zur
2125;Zinsaufwendungen für Gebäude , die zum
2126;Zinsen zur Finanzierung des Anlagevermögen s
2127;Renten und daue rnde Lasten
2128;Zinsaufwendungen an Mitunternehmer für die
2129;Zinsaufwendungen für langfristige
2130;Diskontaufwendunge n GK Diskontaufwendunge n
2139;Diskontaufwendungen an verbundene
2140;Zinsähnliche Aufwendunge n Übrige / nicht zuordenba re sonstige
2141;Kreditprovisionen und
2142;Zinsen und ähnliche Aufwendungen Zinsanteil der Zuführungen zu
2143;Zinsaufwendungen aus der Abzinsung von
2144;Zinsaufwendungen aus der Abzinsung von
2145;Zinsaufwendungen aus der Abzinsung von
2146;Zinsen und ähnliche Aufwendungen
2147;Aufwendungen aus Vermögen sgegen ständen
2148;Zinsen und ähnliche Aufwendungen Steuerlich nicht abzugsfähige
2149;Zinsähnliche Aufwendungen an verbundene
2150;Sonstige betriebliche Aufwendungen Aufwendungen aus der Währungsumrechnun g Kurs- / Währungsverluste
2151;Aufwendungen aus der Währungsumrechnung
2166;Aufwendungen aus Bewertung
2170;Nicht abziehba re Vorsteuer ande re ordentliche / nicht zuordenba re
2171;Nicht abziehba re Vorsteuer 7 %
2176;Nicht abziehba re Vorsteuer 19 %
2212;Steuern vom Einkommen und Ertrag Steuern vom Einkommen und vom
2213;Kapitalertragsteuer 25 %
2216;Anrechenba rer Solidaritätszuschlag auf
2219;Anzurechnende ausländische Quellensteuer
2250;Aufwendungen aus der Zuführung und
2255;Erträge aus der Zuführung und Auflösung von
2260;Aufwendungen aus der Zuführung zu
2265;Erträge aus der Auflösung von
2280;Gewerbesteuernachzahlungen Vorjahre
2281;Gewerbesteuernachzahlungen und
2282;Gewerbesteuererstattungen Vorjahre
2283;Erträge aus der Auflösung von
2284;Erträge aus der Auflösung von
2285;Sonstige Steuern Steuernachzahlungen Vorjahre für sonstige
2287;Steuererstattungen Vorjahre für sonstige
2289;Erträge aus der Auflösung von Rückstellungen
2300;Sonstige betriebliche Aufwendungen Sonstige Aufwendunge n ande re sonstige betriebliche
2307;Sonstige Aufwendungen betriebsfremd und
2308;Sonstige nicht abziehba re Aufwendunge n GK ande re ordentliche / nicht zuordenba re
2309;Sonstige Aufwendungen unregelmäßig ande re sonstige betriebliche
2310;Anlagenabgänge Sachanlagen (Restbuchwert
2311;Anlagenabgänge immaterielle
2312;Sonstige betriebliche Aufwendungen Anlagenabgänge Finanzanlagen
2313;Anlagenabgänge Finanzanlagen § 3 Nr. 40
2315;Sonstige betriebliche Erträge Anlagenabgänge Sachanlagen (Restbuchwert
2316;Anlagenabgänge immaterielle
2317;Anlagenabgänge Finanzanlagen
2318;Anlagenabgänge Finanzanlagen § 3 Nr. 40
2320;Sonstige betriebliche Aufwendungen Verluste aus dem Abgang von Gegen ständen
2323;Verluste aus der Veräußerung von Anteilen an
2325;Verluste aus dem Abgang von Gegen ständen
